project_name_en,rooms,is_registered,pre_registration_number,property_sub_type_id,parent_property_id,project_name_ar,area_id,unit_parking_number,zone_id,property_type_id,is_lease_hold,unit_number,parking_allocation_type_en,project_id,land_sub_number,master_project_id,land_type_ar,parking_allocation_type_ar,common_area,floor,munc_number,actual_common_area,rooms_ar,property_type_en,is_free_hold,land_type_en,master_project_en,land_number,rooms_en,area_name_en,property_type_ar,creation_date,parcel_id,load_timestamp,property_id,area_name_ar,actual_area,property_sub_type_en,grandparent_property_id,land_type_id,unit_balcony_area,parking_allocation_type,property_sub_type_ar,master_project_ar,munc_zip_code,building_number
"Binghatti Aquarise","26","0","null","60","769710793","بن غاطي أكوا رايز","526","1","2","3","0","B628","null","726316698","0","112","تجارى","null","0.03","6","284","34.12","استوديو","Unit","1","Commercial","Business Bay","261","Studio","Business Bay","وحدة","2025-04-14 00:00:00","3460284","2026-02-26 16:09:32","1808828865","الخليج التجارى","39.35","Flat","1623035417","4","7.35","null","شقه سكنيه","الخليج التجاري","346","2"
"Shoaq","1","0","null","60","2061887096","شوق","432","1","1","3","0","702","null","735591800","0","4","تجارى","null","0.89","7","666","100.79","غرفة","Unit","1","Commercial","Palm Deira","1530","1 B/R","Palm Deira","وحدة","2025-04-15 00:00:00","1010666","2026-02-26 16:09:32","1966152020","نخلة ديرة","95.25","Flat","1882222032","4","12.55","null","شقه سكنيه","نخلة ديرة","101","1"
"null","0","1","null","70","1924865542","null","459","1","2","3","1","6","null","null","0","107","تجارى","null","0","G","589","null","غير معرف","Unit","0","Commercial","Dubai Investment Park Second","293","NA","Dubai Investment Park Second","وحدة","2014-06-04 00:00:00","5970589","2026-02-26 16:09:32","52886040","مجمع دبي للاستثمار الثاني","294","Warehouse","1170436726","4","null","null","مستودع","مجمع دبي للاستثمار الثاني","597","1"
"Alexis Tower","26","1","null","60","939624004","برج أليكسيس","478","F2-46","2","3","0","818","null","280299769","0","122","تجارى","null","0.18","8","200","31.94","استوديو","Unit","1","Commercial","Down Town Jabal Ali","56","Studio","Jabal Ali Industrial Second","وحدة","2019-12-12 00:00:00","5180200","2026-02-26 16:09:32","1435975849","جبل علي الصناعية الثانية","28.97","Flat","1843287928","4","4.07","null","شقه سكنيه","دون تاون جبل علي","518","1"
"Sobha Solis","0","0","null","43","725168694","شوبا سوليس","444","5","2","3","0","SHOWROOM","null","669285539","0","95","تجارى","null","1.32","G","319","1929.66","غير معرف","Unit","1","Commercial","Motor City","128","NA","Al Hebiah First","وحدة","2024-11-28 00:00:00","6740319","2026-02-26 16:09:32","2000813757","الحبيه الاولى","1994.65","Show Rooms","990300237","4","0","null","غرف عرض","موتور ستي","674","5"
"null","3","null","null","null","null","null","329","null","2","3","null","605","null","null","0","null","تجارى","null","131.9223","6","212","null","ثلاثة غرفة و صالة","Unit","0","Commercial","null","6","3 bed rooms+hall","Trade Center Second","وحدة","2013-04-15 00:00:00","3360212","2026-02-26 16:09:32","1001820505369","المركز التجارى الثانيه","131.92","null","1000105160666","4","null","null","null","null","336","0"
"null","421","null","null","null","null","null","249","null","1","3","null","GR5","null","null","0","null","تجارى","null","360.3","G","1101","null","محل","Unit","0","Commercial","null","381","Shop","Al Muteena","وحدة","2021-05-13 00:00:00","1231101","2026-02-26 16:09:32","1000853861180","المطينه","360.3","null","1000430771273","4","null","null","null","null","123","381"
"null","12","null","null","null","null","null","360","null","1","3","null","110","null","null","0","null","تجارى","null","215.5","1","1055","null","غرفه سكن عمال","Unit","0","Commercial","null","54","Room in labor Camp","Muhaisanah Second","وحدة","2013-12-24 00:00:00","2641055","2026-02-26 16:09:32","1000375547860","محيصنه الثانيه","20.03","null","null","4","null","null","null","null","264","54"
"DAMAC CASA","2","0","null","60","1600523011","داماك كازا","371","1","2","3","0","1301","null","542369284","0","202","تجارى","null","0.31","13","749","144.11","غرفتان","Unit","1","Commercial","Site A","24","2 B/R","Al Safouh Second","وحدة","2023-10-03 00:00:00","3820749","2026-02-26 16:09:32","1083225663","الصفوح الثانيه","172.58","Flat","1869142775","4","73.72","null","شقه سكنيه","الموقع أ","382","1"
"null","521","null","null","null","null","null","240","null","1","3","null","1107","null","null","0","null","تجارى","null","24.15","11","185","null","Hotel","Unit","0","Commercial","null","355","Hotel","Port Saeed","وحدة","2025-09-29 00:00:00","1290185","2026-02-26 16:09:32","1001114365295","بور سعيد","24.15","null","1001427932337","4","null","null","null","null","129","0"
"Boulevard Point","2","1","null","60","1678678024","بوليفارد بوينت","390","BPB2-084","2","3","0","2505","null","11463005","0","541","تجارى","null","0.2","25","6903","148.48","غرفتان","Unit","1","Commercial","DownTown Dubai","207","2 B/R","Burj Khalifa","وحدة","2014-02-06 00:00:00","3456903","2026-02-26 16:09:32","1861375901","برج خليفة","126.63","Flat","47057923","4","10.26","null","شقه سكنيه","داون تاون دبي","345","7"
"null","65","1","null","60","975725873","null","395","null","2","3","1","211","null","null","0","198","مؤسسات حكومية","null","0","2","7466","null","غرفة مستقلة","Unit","0","Government Authorities","JABAL ALI INDUSTRIAL DEVELOPMENT","1249","Single Room","Jabal Ali Industrial First","وحدة","2019-11-03 00:00:00","5997466","2026-02-26 16:09:32","684801035","جبل على الصناعية الأولى","15.37","Flat","1525522500","6","0","null","شقه سكنيه","جبل علي الصناعية للتطوير","599","1"
"null","421","null","null","null","null","null","238","null","1","3","null","SHOP NO. 05","null","null","2","null","تجارى","null","17.18","G","600","null","محل","Unit","0","Commercial","null","94","Shop","Al Dhagaya","وحدة","2013-04-11 00:00:00","1130600","2026-02-26 16:09:32","1001852946257","الضغايه","17.18","null","1001071143370","4","null","null","null","null","113","0"
"null","2","1","null","60","2101209980","null","483","null","2","3","0","403","null","null","0","24","null","null","0","4","864","null","غرفتان","Unit","1","null","International City Phase 3","1935","2 B/R","Warsan Fourth","وحدة","2023-10-05 00:00:00","6240864","2026-02-26 16:09:32","1610562345","ورسان الرابعة","99","Flat","2054807619","null","3.3","null","شقه سكنيه","المدينة العالمية - المرحلة الثالثة","624","1"
